Indicator,Country,Year,Value
"Mortality caused by road traffic injury (per 100,000 people)","Central African Republic","2013","32.4"
"Mortality caused by road traffic injury (per 100,000 people)","Central African Republic","2016","33.6"
"Mortality caused by road traffic injury (per 100,000 people)","Chad","2013","24.1"
"Mortality caused by road traffic injury (per 100,000 people)","Chad","2016","27.6"
"Mortality caused by road traffic injury (per 100,000 people)","Channel Islands","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Channel Islands","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Chile","2013","12.4"
"Mortality caused by road traffic injury (per 100,000 people)","Chile","2016","12.5"
"Mortality caused by road traffic injury (per 100,000 people)","China","2013","18.8"
"Mortality caused by road traffic injury (per 100,000 people)","China","2016","18.2"
"Mortality caused by road traffic injury (per 100,000 people)","Colombia","2013","16.8"
"Mortality caused by road traffic injury (per 100,000 people)","Colombia","2016","18.5"
"Mortality caused by road traffic injury (per 100,000 people)","Comoros","2013","28"
"Mortality caused by road traffic injury (per 100,000 people)","Comoros","2016","26.5"
"Mortality caused by road traffic injury (per 100,000 people)","Congo, Dem. Rep.","2013","33.2"
"Mortality caused by road traffic injury (per 100,000 people)","Congo, Dem. Rep.","2016","33.7"
"Mortality caused by road traffic injury (per 100,000 people)","Congo, Rep.","2013","26.4"
"Mortality caused by road traffic injury (per 100,000 people)","Congo, Rep.","2016","27.4"
"Mortality caused by road traffic injury (per 100,000 people)","Costa Rica","2013","13.9"
"Mortality caused by road traffic injury (per 100,000 people)","Costa Rica","2016","16.7"
"Mortality caused by road traffic injury (per 100,000 people)","Cote d'Ivoire","2013","24.2"
"Mortality caused by road traffic injury (per 100,000 people)","Cote d'Ivoire","2016","23.6"
"Mortality caused by road traffic injury (per 100,000 people)","Croatia","2013","9.2"
"Mortality caused by road traffic injury (per 100,000 people)","Croatia","2016","8.1"
"Mortality caused by road traffic injury (per 100,000 people)","Cuba","2013","7.5"
"Mortality caused by road traffic injury (per 100,000 people)","Cuba","2016","8.5"
"Mortality caused by road traffic injury (per 100,000 people)","Curacao","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Curacao","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Cyprus","2013","5.2"
"Mortality caused by road traffic injury (per 100,000 people)","Cyprus","2016","5.1"
"Mortality caused by road traffic injury (per 100,000 people)","Czech Republic","2013","6.1"
"Mortality caused by road traffic injury (per 100,000 people)","Czech Republic","2016","5.9"
"Mortality caused by road traffic injury (per 100,000 people)","Denmark","2013","3.5"
"Mortality caused by road traffic injury (per 100,000 people)","Denmark","2016","4"
"Mortality caused by road traffic injury (per 100,000 people)","Djibouti","2013","24.7"
"Mortality caused by road traffic injury (per 100,000 people)","Djibouti","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Dominica","2013","15.3"
"Mortality caused by road traffic injury (per 100,000 people)","Dominica","2016","10.9"
"Mortality caused by road traffic injury (per 100,000 people)","Dominican Republic","2013","29.3"
"Mortality caused by road traffic injury (per 100,000 people)","Dominican Republic","2016","34.6"
"Mortality caused by road traffic injury (per 100,000 people)","Ecuador","2013","20.1"
"Mortality caused by road traffic injury (per 100,000 people)","Ecuador","2016","21.3"
"Mortality caused by road traffic injury (per 100,000 people)","Egypt, Arab Rep.","2013","12.8"
"Mortality caused by road traffic injury (per 100,000 people)","Egypt, Arab Rep.","2016","9.7"
"Mortality caused by road traffic injury (per 100,000 people)","El Salvador","2013","21.1"
"Mortality caused by road traffic injury (per 100,000 people)","El Salvador","2016","22.2"
"Mortality caused by road traffic injury (per 100,000 people)","Equatorial Guinea","2013","22.9"
"Mortality caused by road traffic injury (per 100,000 people)","Equatorial Guinea","2016","24.6"
"Mortality caused by road traffic injury (per 100,000 people)","Eritrea","2013","24.1"
"Mortality caused by road traffic injury (per 100,000 people)","Eritrea","2016","25.3"
"Mortality caused by road traffic injury (per 100,000 people)","Estonia","2013","7"
"Mortality caused by road traffic injury (per 100,000 people)","Estonia","2016","6.1"
"Mortality caused by road traffic injury (per 100,000 people)","Eswatini","2013","24.2"
"Mortality caused by road traffic injury (per 100,000 people)","Eswatini","2016","26.9"
"Mortality caused by road traffic injury (per 100,000 people)","Ethiopia","2013","25.3"
"Mortality caused by road traffic injury (per 100,000 people)","Ethiopia","2016","26.7"
"Mortality caused by road traffic injury (per 100,000 people)","Faroe Islands","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Faroe Islands","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Fiji","2013","5.8"
"Mortality caused by road traffic injury (per 100,000 people)","Fiji","2016","9.6"
