Indicator,Country,Year,Value
"Mortality caused by road traffic injury (per 100,000 people)","St. Martin (French part)","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","St. Vincent and the Grenadines","2013","8.2"
"Mortality caused by road traffic injury (per 100,000 people)","St. Vincent and the Grenadines","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Sudan","2013","24.3"
"Mortality caused by road traffic injury (per 100,000 people)","Sudan","2016","25.7"
"Mortality caused by road traffic injury (per 100,000 people)","Suriname","2013","19.1"
"Mortality caused by road traffic injury (per 100,000 people)","Suriname","2016","14.5"
"Mortality caused by road traffic injury (per 100,000 people)","Sweden","2013","2.8"
"Mortality caused by road traffic injury (per 100,000 people)","Sweden","2016","2.8"
"Mortality caused by road traffic injury (per 100,000 people)","Switzerland","2013","3.3"
"Mortality caused by road traffic injury (per 100,000 people)","Switzerland","2016","2.7"
"Mortality caused by road traffic injury (per 100,000 people)","Syrian Arab Republic","2013","20"
"Mortality caused by road traffic injury (per 100,000 people)","Syrian Arab Republic","2016","26.5"
"Mortality caused by road traffic injury (per 100,000 people)","Tajikistan","2013","18.8"
"Mortality caused by road traffic injury (per 100,000 people)","Tajikistan","2016","18.1"
"Mortality caused by road traffic injury (per 100,000 people)","Tanzania","2013","32.9"
"Mortality caused by road traffic injury (per 100,000 people)","Tanzania","2016","29.2"
"Mortality caused by road traffic injury (per 100,000 people)","Thailand","2013","36.2"
"Mortality caused by road traffic injury (per 100,000 people)","Thailand","2016","32.7"
"Mortality caused by road traffic injury (per 100,000 people)","Timor-Leste","2013","16.6"
"Mortality caused by road traffic injury (per 100,000 people)","Timor-Leste","2016","12.7"
"Mortality caused by road traffic injury (per 100,000 people)","Togo","2013","31.1"
"Mortality caused by road traffic injury (per 100,000 people)","Togo","2016","29.2"
"Mortality caused by road traffic injury (per 100,000 people)","Tonga","2013","7.6"
"Mortality caused by road traffic injury (per 100,000 people)","Tonga","2016","16.8"
"Mortality caused by road traffic injury (per 100,000 people)","Trinidad and Tobago","2013","14.1"
"Mortality caused by road traffic injury (per 100,000 people)","Trinidad and Tobago","2016","12.1"
"Mortality caused by road traffic injury (per 100,000 people)","Tunisia","2013","24.4"
"Mortality caused by road traffic injury (per 100,000 people)","Tunisia","2016","22.8"
"Mortality caused by road traffic injury (per 100,000 people)","Turkey","2013","8.9"
"Mortality caused by road traffic injury (per 100,000 people)","Turkey","2016","12.3"
"Mortality caused by road traffic injury (per 100,000 people)","Turkmenistan","2013","17.4"
"Mortality caused by road traffic injury (per 100,000 people)","Turkmenistan","2016","14.5"
"Mortality caused by road traffic injury (per 100,000 people)","Turks and Caicos Islands","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Turks and Caicos Islands","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Tuvalu","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Tuvalu","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Uganda","2013","27.4"
"Mortality caused by road traffic injury (per 100,000 people)","Uganda","2016","29"
"Mortality caused by road traffic injury (per 100,000 people)","Ukraine","2013","10.6"
"Mortality caused by road traffic injury (per 100,000 people)","Ukraine","2016","13.7"
"Mortality caused by road traffic injury (per 100,000 people)","United Arab Emirates","2013","10.9"
"Mortality caused by road traffic injury (per 100,000 people)","United Arab Emirates","2016","18.1"
"Mortality caused by road traffic injury (per 100,000 people)","United Kingdom","2013","2.9"
"Mortality caused by road traffic injury (per 100,000 people)","United Kingdom","2016","3.1"
"Mortality caused by road traffic injury (per 100,000 people)","United States","2013","10.6"
"Mortality caused by road traffic injury (per 100,000 people)","United States","2016","12.4"
"Mortality caused by road traffic injury (per 100,000 people)","Uruguay","2013","16.6"
"Mortality caused by road traffic injury (per 100,000 people)","Uruguay","2016","13.4"
"Mortality caused by road traffic injury (per 100,000 people)","Uzbekistan","2013","11.2"
"Mortality caused by road traffic injury (per 100,000 people)","Uzbekistan","2016","11.5"
"Mortality caused by road traffic injury (per 100,000 people)","Vanuatu","2013","16.6"
"Mortality caused by road traffic injury (per 100,000 people)","Vanuatu","2016","15.9"
"Mortality caused by road traffic injury (per 100,000 people)","Venezuela, RB","2013","45.1"
"Mortality caused by road traffic injury (per 100,000 people)","Venezuela, RB","2016","33.7"
"Mortality caused by road traffic injury (per 100,000 people)","Vietnam","2013","24.5"
"Mortality caused by road traffic injury (per 100,000 people)","Vietnam","2016","26.4"
"Mortality caused by road traffic injury (per 100,000 people)","Virgin Islands (U.S.)","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Virgin Islands (U.S.)","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","West Bank and Gaza","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","West Bank and Gaza","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Yemen, Rep.","2013","21.5"
"Mortality caused by road traffic injury (per 100,000 people)","Yemen, Rep.","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Zambia","2013","24.7"
"Mortality caused by road traffic injury (per 100,000 people)","Zambia","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Zimbabwe","2013","28.2"
"Mortality caused by road traffic injury (per 100,000 people)","Zimbabwe","2016","34.7"
"Mortality caused by road traffic injury (per 100,000 people)","Arab World","2013","20.2813050985634"
"Mortality caused by road traffic injury (per 100,000 people)","Arab World","2016","19.4468187399204"
"Mortality caused by road traffic injury (per 100,000 people)","Caribbean small states","2013","13.7676126059574"
"Mortality caused by road traffic injury (per 100,000 people)","Caribbean small states","2016","15.498151571549"
"Mortality caused by road traffic injury (per 100,000 people)","Central Europe and the Baltics","2013","8.82288981884616"
"Mortality caused by road traffic injury (per 100,000 people)","Central Europe and the Baltics","2016","8.85670504141987"
"Mortality caused by road traffic injury (per 100,000 people)","Early-demographic dividend","2013","17.145370085843"
"Mortality caused by road traffic injury (per 100,000 people)","Early-demographic dividend","2016","19.2302174572035"
"Mortality caused by road traffic injury (per 100,000 people)","East Asia & Pacific","2013","17.7229323772316"
"Mortality caused by road traffic injury (per 100,000 people)","East Asia & Pacific","2016","16.90830752743"
"Mortality caused by road traffic injury (per 100,000 people)","East Asia & Pacific (excluding high income)","2013","18.9006191920446"
"Mortality caused by road traffic injury (per 100,000 people)","East Asia & Pacific (excluding high income)","2016","18.0851558360796"
"Mortality caused by road traffic injury (per 100,000 people)","East Asia & Pacific (IDA & IBRD countries)","2013","18.8766270029034"
"Mortality caused by road traffic injury (per 100,000 people)","East Asia & Pacific (IDA & IBRD countries)","2016","18.0851558360796"
"Mortality caused by road traffic injury (per 100,000 people)","Euro area","2013","5.18782293842316"
"Mortality caused by road traffic injury (per 100,000 people)","Euro area","2016","5.10865338237377"
"Mortality caused by road traffic injury (per 100,000 people)","Europe & Central Asia","2013","9.34424249569209"
"Mortality caused by road traffic injury (per 100,000 people)","Europe & Central Asia","2016","9.38071628749851"
"Mortality caused by road traffic injury (per 100,000 people)","Europe & Central Asia (excluding high income)","2013","14.6038373281491"
"Mortality caused by road traffic injury (per 100,000 people)","Europe & Central Asia (excluding high income)","2016","14.7012804327704"
"Mortality caused by road traffic injury (per 100,000 people)","Europe & Central Asia (IDA & IBRD countries)","2013","13.9199720489433"
"Mortality caused by road traffic injury (per 100,000 people)","Europe & Central Asia (IDA & IBRD countries)","2016","14.0297333134661"
"Mortality caused by road traffic injury (per 100,000 people)","European Union","2013","5.88026036716101"
"Mortality caused by road traffic injury (per 100,000 people)","European Union","2016","5.85145160407202"
"Mortality caused by road traffic injury (per 100,000 people)","Fragile and conflict affected situations","2013","24.6727040966243"
"Mortality caused by road traffic injury (per 100,000 people)","Fragile and conflict affected situations","2016","25.2574883423373"
"Mortality caused by road traffic injury (per 100,000 people)","Heavily indebted poor countries (HIPC)","2013","27.1330641227923"
"Mortality caused by road traffic injury (per 100,000 people)","Heavily indebted poor countries (HIPC)","2016","27.3976020942068"
"Mortality caused by road traffic injury (per 100,000 people)","High income","2013","7.94431930426689"
"Mortality caused by road traffic injury (per 100,000 people)","High income","2016","8.36987014804413"
"Mortality caused by road traffic injury (per 100,000 people)","IBRD only","2013","18.2247341994892"
"Mortality caused by road traffic injury (per 100,000 people)","IBRD only","2016","19.07451817771"
"Mortality caused by road traffic injury (per 100,000 people)","IDA & IBRD total","2013","19.1545564306396"
"Mortality caused by road traffic injury (per 100,000 people)","IDA & IBRD total","2016","19.9214618490553"
"Mortality caused by road traffic injury (per 100,000 people)","IDA blend","2013","18.7541141769759"
"Mortality caused by road traffic injury (per 100,000 people)","IDA blend","2016","19.3023926901283"
"Mortality caused by road traffic injury (per 100,000 people)","IDA only","2013","23.7319225416524"
"Mortality caused by road traffic injury (per 100,000 people)","IDA only","2016","24.3354390316131"
"Mortality caused by road traffic injury (per 100,000 people)","IDA total","2013","22.0611815281968"
"Mortality caused by road traffic injury (per 100,000 people)","IDA total","2016","22.5642147141972"
"Mortality caused by road traffic injury (per 100,000 people)","Late-demographic dividend","2013","19.6034300583193"
"Mortality caused by road traffic injury (per 100,000 people)","Late-demographic dividend","2016","18.7029666101473"
"Mortality caused by road traffic injury (per 100,000 people)","Latin America & Caribbean","2013","19.2417791121191"
"Mortality caused by road traffic injury (per 100,000 people)","Latin America & Caribbean","2016","17.8143495236901"
"Mortality caused by road traffic injury (per 100,000 people)","Latin America & Caribbean (excluding high income)","2013","19.5499770859217"
"Mortality caused by road traffic injury (per 100,000 people)","Latin America & Caribbean (excluding high income)","2016","18.0531718090395"
"Mortality caused by road traffic injury (per 100,000 people)","Latin America & the Caribbean (IDA & IBRD countries)","2013","19.4743862523008"
"Mortality caused by road traffic injury (per 100,000 people)","Latin America & the Caribbean (IDA & IBRD countries)","2016","17.9975983782297"
"Mortality caused by road traffic injury (per 100,000 people)","Least developed countries: UN classification","2013","24.0076504248775"
"Mortality caused by road traffic injury (per 100,000 people)","Least developed countries: UN classification","2016","24.4731976486021"
"Mortality caused by road traffic injury (per 100,000 people)","Low & middle income","2013","19.2682192590338"
"Mortality caused by road traffic injury (per 100,000 people)","Low & middle income","2016","20.0365451274943"
"Mortality caused by road traffic injury (per 100,000 people)","Low income","2013","26.3473342150903"
"Mortality caused by road traffic injury (per 100,000 people)","Low income","2016","27.8273153459034"
"Mortality caused by road traffic injury (per 100,000 people)","Lower middle income","2013","17.6869666112402"
"Mortality caused by road traffic injury (per 100,000 people)","Lower middle income","2016","20.5446170781993"
"Mortality caused by road traffic injury (per 100,000 people)","Middle East & North Africa","2013","21.57552742815"
"Mortality caused by road traffic injury (per 100,000 people)","Middle East & North Africa","2016","18.2278412084433"
"Mortality caused by road traffic injury (per 100,000 people)","Middle East & North Africa (excluding high income)","2013","21.8737084901054"
"Mortality caused by road traffic injury (per 100,000 people)","Middle East & North Africa (excluding high income)","2016","17.6200456463381"
"Mortality caused by road traffic injury (per 100,000 people)","Middle East & North Africa (IDA & IBRD countries)","2013","21.8737084901054"
"Mortality caused by road traffic injury (per 100,000 people)","Middle East & North Africa (IDA & IBRD countries)","2016","17.6200456463381"
"Mortality caused by road traffic injury (per 100,000 people)","Middle income","2013","18.5151276508282"
"Mortality caused by road traffic injury (per 100,000 people)","Middle income","2016","19.2623507405438"
"Mortality caused by road traffic injury (per 100,000 people)","North America","2013","10.1403238020354"
"Mortality caused by road traffic injury (per 100,000 people)","North America","2016","11.7362426277075"
"Mortality caused by road traffic injury (per 100,000 people)","Not classified","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Not classified","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","OECD members","2013","8.11567819541698"
"Mortality caused by road traffic injury (per 100,000 people)","OECD members","2016","8.74704965239217"
"Mortality caused by road traffic injury (per 100,000 people)","Other small states","2013","19.4228524862478"
"Mortality caused by road traffic injury (per 100,000 people)","Other small states","2016","20.4194499804544"
"Mortality caused by road traffic injury (per 100,000 people)","Pacific island small states","2013","10.9741716822245"
"Mortality caused by road traffic injury (per 100,000 people)","Pacific island small states","2016","12.3135574875698"
"Mortality caused by road traffic injury (per 100,000 people)","Post-demographic dividend","2013","7.29635581151713"
"Mortality caused by road traffic injury (per 100,000 people)","Post-demographic dividend","2016","7.7421394905972"
"Mortality caused by road traffic injury (per 100,000 people)","Pre-demographic dividend","2013","26.1088429555767"
"Mortality caused by road traffic injury (per 100,000 people)","Pre-demographic dividend","2016","26.1031675070371"
"Mortality caused by road traffic injury (per 100,000 people)","Small states","2013","17.82855553883"
"Mortality caused by road traffic injury (per 100,000 people)","Small states","2016","18.9755485598658"
"Mortality caused by road traffic injury (per 100,000 people)","South Asia","2013","16.0535635377541"
"Mortality caused by road traffic injury (per 100,000 people)","South Asia","2016","20.6415574218229"
"Mortality caused by road traffic injury (per 100,000 people)","South Asia (IDA & IBRD)","2013","16.0535635377541"
"Mortality caused by road traffic injury (per 100,000 people)","South Asia (IDA & IBRD)","2016","20.6415574218229"
"Mortality caused by road traffic injury (per 100,000 people)","Sub-Saharan Africa","2013","26.6190378095504"
"Mortality caused by road traffic injury (per 100,000 people)","Sub-Saharan Africa","2016","26.875360492999"
"Mortality caused by road traffic injury (per 100,000 people)","Sub-Saharan Africa (excluding high income)","2013","26.6400312916234"
"Mortality caused by road traffic injury (per 100,000 people)","Sub-Saharan Africa (excluding high income)","2016","26.8930909996023"
"Mortality caused by road traffic injury (per 100,000 people)","Sub-Saharan Africa (IDA & IBRD countries)","2013","26.6190378095503"
"Mortality caused by road traffic injury (per 100,000 people)","Sub-Saharan Africa (IDA & IBRD countries)","2016","26.875360492999"
"Mortality caused by road traffic injury (per 100,000 people)","Upper middle income","2013","19.3243581595253"
"Mortality caused by road traffic injury (per 100,000 people)","Upper middle income","2016","18.0130035241982"
"Mortality caused by road traffic injury (per 100,000 people)","World","2013","17.4222789808414"
"Mortality caused by road traffic injury (per 100,000 people)","World","2016","18.1362051966358"
